FileName,SERIES_NAME,VARIABLE_NAME,ATTRIBUTE_TITLE,KEYWORD1,KEYWORD2,ATTRIBUTE_LABEL,CONFIDENCE_INTERVAL,DEPTH,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,CITATION_ADDRESS,PUBLICATION_DATE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,SLD_URL,SLD_NAME,NO_DATA,DATA_FORMAT
clay_M_sl4_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.30 m,clay,texture,clay_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
clay_M_sl5_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.60 m,clay,texture,clay_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
clay_M_sl6_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 1.00 m,clay,texture,clay_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
clay_M_sl7_100m.tif,USA48SoilGrids100m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 2.00 m,clay,texture,clay_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl1_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 0.00 m,clay,texture,ec_12pre_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl2_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 0.05 m,clay,texture,ec_12pre_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl3_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 0.15 m,clay,texture,ec_12pre_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl4_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 0.30 m,clay,texture,ec_12pre_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl5_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 0.60 m,clay,texture,ec_12pre_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl6_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 1.00 m,clay,texture,ec_12pre_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ec_12pre_M_sl7_100m.tif,USA48SoilGrids100m,Electrical conductivity,Electrical conductivity at depth 2.00 m,clay,texture,ec_12pre_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl1_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 0.00 m,potassium,nutrient,k_pct_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl2_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 0.05 m,potassium,nutrient,k_pct_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl3_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 0.15 m,potassium,nutrient,k_pct_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl4_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 0.30 m,potassium,nutrient,k_pct_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl5_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 0.60 m,potassium,nutrient,k_pct_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl6_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 1.00 m,potassium,nutrient,k_pct_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
k_pct_M_sl7_100m.tif,USA48SoilGrids100m,Potassium content in ppm,Potassium content in ppm at depth 2.00 m,potassium,nutrient,k_pct_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl1_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 0.00 m,magnesium,nutrient,mg_pct_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl2_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 0.05 m,magnesium,nutrient,mg_pct_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl3_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 0.15 m,magnesium,nutrient,mg_pct_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl4_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 0.30 m,magnesium,nutrient,mg_pct_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl5_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 0.60 m,magnesium,nutrient,mg_pct_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl6_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 1.00 m,magnesium,nutrient,mg_pct_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
mg_pct_M_sl7_100m.tif,USA48SoilGrids100m,Magnesium content in ppm,Magnesium content in ppm at depth 2.00 m,magnesium,nutrient,mg_pct_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl1_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 0.00 m,nitrogen,nutrient,n_tot_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl2_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 0.05 m,nitrogen,nutrient,n_tot_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl3_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 0.15 m,nitrogen,nutrient,n_tot_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl4_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 0.30 m,nitrogen,nutrient,n_tot_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl5_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 0.60 m,nitrogen,nutrient,n_tot_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl6_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 1.00 m,nitrogen,nutrient,n_tot_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
n_tot_M_sl7_100m.tif,USA48SoilGrids100m,Total (organic) Nitrogen content,Total (organic) Nitrogen content at depth 2.00 m,nitrogen,nutrient,n_tot_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl1_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 0.00 m,pH,acidity,ph_h2o_M_sl1,M,0.00 m,0.00 m,0.00 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl2_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 0.05 m,pH,acidity,ph_h2o_M_sl2,M,0.05 m,0.05 m,0.05 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl3_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 0.15 m,pH,acidity,ph_h2o_M_sl3,M,0.15 m,0.15 m,0.15 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl4_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 0.30 m,pH,acidity,ph_h2o_M_sl4,M,0.30 m,0.30 m,0.30 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl5_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 0.60 m,pH,acidity,ph_h2o_M_sl5,M,0.60 m,0.60 m,0.60 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl6_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 1.00 m,pH,acidity,ph_h2o_M_sl6,M,1.00 m,1.00 m,1.00 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
ph_h2o_M_sl7_100m.tif,USA48SoilGrids100m,Soil pH x 10 in H2O ,Soil pH x 10 in H2O  at depth 2.00 m,pH,acidity,ph_h2o_M_sl7,M,2.00 m,2.00 m,2.00 m,20,110,1,index*10,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:CLYPPT,255,Byte
PSCS_ASHY_100m.tif,USA48SoilGrids100m,Predicted ASHY particle size in the control section class,Predicted probability in percent for: ASHY,ASHY,texture class,PSCS,M,None,0.00 m,2.00 m,0,100,1,percent,https://doi.org/10.18113/S1KW2H,"Pensilvania State University, ISRIC - World Soil Information, USDA NRCS / USGS",a.m.ramcharan@gmail.com / tom.hengl@isric.org,2017-04-10,https://scholarsphere.psu.edu/collections/jw827b80n,,,,,usa48_soilgrids100m+:PROB,255,Byte
