location	id	latitude	longitude	gg	pscsmodorg	pscs_pprob	gg_pprob	pscs_c1	gg_c1	pscs_c1n	gg_c1n
superset	2013MN137BW409308	47.94543600000	-92.06938600000	DYSTRUDEPTS	COARSE-LOAMY	23	41	70	78	ORGANIC	DYSTRUDEPTS
superset	2013MN137BW401879	47.95421100000	-92.34836100000		ROCK OUTCROP	29	64	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW442079SAT	47.90130600000	-90.87153100000	ENDOAQUEPTS	FINE	34	41	30	78	FINE	DYSTRUDEPTS
superset	2013MN031BW450194SAT	47.89356400000	-90.85187500000	HUMAQUEPTS		29	31	56	78	LOAMY	DYSTRUDEPTS
Maine	69	45.37156914120	-69.43414026690	DYSTRUDEPTS	COARSE-LOAMY OVER SANDY-SKELETAL	59	85	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	71	45.37231871470	-69.43585729960	DYSTRUDEPTS	COARSE-SILTY	26	63	72	151	SANDY	HAPLORTHODS
Maine	70	45.37231817860	-69.43599777520	DYSTRUDEPTS	COARSE-SILTY	26	63	72	151	SANDY	HAPLORTHODS
Maine	72	45.37259137650	-69.43516976330	DYSTRUDEPTS	COARSE-LOAMY OVER SANDY-SKELETAL	43	68	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	73	45.37510575610	-69.44835647070	HAPLOHUMODS	COARSE-LOAMY	38	67	23	151	COARSE-LOAMY	HAPLORTHODS
superset	2013MN031BW461607	47.88178900000	-90.80576100000	DYSTRUDEPTS	LOAMY-SKELETAL	43	55	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW426789	47.93031100000	-92.30806100000	DYSTRUDEPTS	LOAMY-SKELETAL	27	67	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN137BW428575	47.92900000000	-92.33390000000	DYSTRUDEPTS	COARSE-LOAMY	35	64	23	78	COARSE-LOAMY	DYSTRUDEPTS
superset	2013MN031BW10000SAT	47.87261100000	-90.83535600000	DYSTRUDEPTS	LOAMY-SKELETAL	36	57	23	78	COARSE-LOAMY	DYSTRUDEPTS
Maine	49	45.33709669300	-69.52949685240	DYSTRUDEPTS	LOAMY	37	56	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	50	45.33515085760	-69.52788340250	HAPLOHUMODS	COARSE-LOAMY	35	61	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	56	45.33900958000	-69.54761316880	HAPLORTHODS	COARSE-LOAMY	39	54	56	151	LOAMY	HAPLORTHODS
Maine	53	45.33087067390	-69.52691204540	DYSTRUDEPTS	COARSE-LOAMY	54	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	27	45.24162473500	-69.11661084170	DYSTRUDEPTS	LOAMY	48	67	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	31	45.24290032130	-69.11916182060	DYSTRUDEPTS	LOAMY	40	69	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	55	45.33790025260	-69.55180154900	DYSTRUDEPTS	LOAMY	33	40	56	151	LOAMY	HAPLORTHODS
Maine	29	45.24559008510	-69.11194247620	DYSTRUDEPTS	COARSE-LOAMY	41	71	56	151	LOAMY	HAPLORTHODS
Maine	26	45.24134435330	-69.11790990100	ENDOAQUEPTS	FINE-LOAMY	57	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	58	45.33762259880	-69.55892065010	ENDOAQUEPTS	LOAMY	39	46	56	151	LOAMY	HAPLORTHODS
Maine	30	45.24633931410	-69.10977770320	EUTRUDEPTS	COARSE-LOAMY	41	76	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	25	45.24126125680	-69.11991014150	EUTRUDEPTS	COARSE-LOAMY	60	80	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	28	45.24461660130	-69.11327849840	HAPLORTHODS	LOAMY	49	75	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	54	45.33656171240	-69.55496649540	HAPLORTHODS	LOAMY	29	43	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	52	45.33203310080	-69.52664206440	HAPLORTHODS	COARSE-LOAMY	43	62	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	57	45.33876008890	-69.55082712410	HUMAQUEPTS	LOAMY	40	59	56	151	LOAMY	HAPLORTHODS
Maine	51	45.33289664850	-69.52871751480	UDIFOLISTS	LITHIC ORGANIC	37	54	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	61	44.94851163390	-67.87341027210	DYSTRUDEPTS	COARSE-SILTY	25	63	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	7	45.22592492550	-69.26724443870	DYSTRUDEPTS	LOAMY	37	75	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	8	45.22653720450	-69.26717087850	DYSTRUDEPTS	COARSE-LOAMY	36	73	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	76	45.25127432430	-69.40206441790	HAPLORTHODS	COARSE-LOAMY	43	86	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	60	44.92450626050	-67.86825357640	ENDOAQUEPTS	COARSE-SILTY	22	68	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	63	44.90653375960	-67.83558267120	HAPLORTHODS	COARSE-LOAMY	42	81	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	62	44.91101396260	-67.85130222440	HAPLORTHODS	COARSE-LOAMY	33	85	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	78	45.24870133830	-69.41672636830	HAPLORTHODS	COARSE-LOAMY	28	57	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	77	45.24795329770	-69.41450362020	HAPLORTHODS	LOAMY	32	56	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	59	44.92017603940	-67.86188941440	HAPLORTHODS	SANDY-SKELETAL	25	55	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	140	45.17881317560	-69.23752151240	DYSTRUDEPTS	LITHIC LOAMY-SKELETAL	68	64	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	142	45.17634222280	-69.23534765070	DYSTRUDEPTS	COARSE-LOAMY	64	78	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	143	45.17523578900	-69.23497401740	ENDOAQUEPTS	LOAMY	55	56	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	75	45.21381226830	-69.43810884000	ENDOAQUODS	SANDY	37	46	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	144	45.17486648870	-69.23508703870	EUTRUDEPTS	COARSE-LOAMY	55	56	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	141	45.17717952640	-69.23527473670	EUTRUDEPTS	COARSE-LOAMY	65	66	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	64	45.09781077800	-68.84294831430	HAPLORTHODS	LOAMY	45	45	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	74	45.21429060820	-69.43778139100	HAPLORTHODS	SANDY	30	42	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	103	45.25358190000	-69.58645159310	HAPLORTHODS	COARSE-LOAMY	31	52	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	169	45.12050733210	-69.07378274550	DYSTRUDEPTS	COARSE-LOAMY	46	72	23	151	COARSE-LOAMY	HAPLORTHODS
Maine	168	45.12120805020	-69.07594515300	DYSTRUDEPTS	COARSE-LOAMY	31	51	56	151	LOAMY	HAPLORTHODS
